epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1215.35,1.10759,0.69551,0.87381,0.55988,0.43579,0.45153,0.2782,1.14424,0.81163,0.87882,0.005743,0.005743,0.005743
45,1242.7,1.10286,0.68478,0.87563,0.56632,0.43329,0.45106,0.27807,1.14247,0.81701,0.88036,0.005644,0.005644,0.005644
46,1269.83,1.10445,0.68825,0.87418,0.56367,0.43822,0.45724,0.2815,1.14629,0.80844,0.87929,0.005545,0.005545,0.005545
47,1297.01,1.093,0.67761,0.87179,0.55352,0.43276,0.45122,0.27871,1.15386,0.81142,0.88019,0.005446,0.005446,0.005446
48,1324.17,1.08061,0.66851,0.86907,0.56096,0.43619,0.4522,0.27807,1.14785,0.80966,0.88039,0.005347,0.005347,0.005347
49,1351.47,1.08166,0.66834,0.86996,0.55442,0.43457,0.44904,0.27535,1.15766,0.815,0.88386,0.005248,0.005248,0.005248
50,1378.73,1.08122,0.6643,0.86759,0.56225,0.4329,0.45119,0.27974,1.14061,0.80367,0.87951,0.005149,0.005149,0.005149
51,1405.4,1.07709,0.65852,0.86664,0.56379,0.4356,0.45687,0.28352,1.14039,0.79772,0.87945,0.00505,0.00505,0.00505
52,1433.65,1.07061,0.65768,0.86671,0.56186,0.43973,0.45641,0.2828,1.13958,0.8096,0.87932,0.004951,0.004951,0.004951
53,1460.84,1.08335,0.65538,0.86936,0.56601,0.43776,0.45932,0.28406,1.14851,0.80115,0.88028,0.004852,0.004852,0.004852
54,1488.1,1.06854,0.64928,0.86639,0.5657,0.43648,0.45497,0.28188,1.14383,0.80979,0.87898,0.004753,0.004753,0.004753
55,1515.52,1.0921,0.65873,0.86893,0.56965,0.43889,0.45642,0.28312,1.1336,0.80428,0.87814,0.004654,0.004654,0.004654
56,1543.05,1.07798,0.64532,0.86552,0.55501,0.4437,0.45854,0.28456,1.13147,0.79818,0.87702,0.004555,0.004555,0.004555
57,1570.66,1.07296,0.64116,0.86768,0.55294,0.44642,0.45736,0.28441,1.14293,0.79909,0.87846,0.004456,0.004456,0.004456
58,1598.17,1.10269,0.65035,0.8684,0.57289,0.43055,0.45493,0.28156,1.13578,0.80619,0.87653,0.004357,0.004357,0.004357
59,1625.56,1.07228,0.64037,0.86347,0.55971,0.44173,0.45565,0.28198,1.14062,0.80825,0.87906,0.004258,0.004258,0.004258
60,1652.74,1.05526,0.61927,0.86556,0.56721,0.43895,0.45551,0.28204,1.1396,0.80935,0.87793,0.004159,0.004159,0.004159
61,1681.08,1.0623,0.62554,0.86356,0.57032,0.44042,0.45815,0.28281,1.14601,0.81323,0.87843,0.00406,0.00406,0.00406
62,1708.34,1.05176,0.62012,0.86217,0.56654,0.4399,0.45799,0.28441,1.13116,0.8059,0.87625,0.003961,0.003961,0.003961
63,1736.12,1.03697,0.60607,0.86023,0.56919,0.44125,0.46017,0.28632,1.12885,0.7949,0.87655,0.003862,0.003862,0.003862
64,1763.42,1.04254,0.617,0.85956,0.56214,0.44873,0.4615,0.28578,1.1358,0.80374,0.87885,0.003763,0.003763,0.003763
65,1790.56,1.0458,0.61311,0.86115,0.56727,0.44439,0.45828,0.28445,1.13184,0.80851,0.8753,0.003664,0.003664,0.003664
66,1817.67,1.04509,0.60671,0.85767,0.57953,0.43861,0.45907,0.28468,1.13194,0.81097,0.87637,0.003565,0.003565,0.003565
67,1845.28,1.04513,0.60777,0.85972,0.57145,0.44389,0.45981,0.28712,1.12918,0.80864,0.87659,0.003466,0.003466,0.003466
68,1872.57,1.04453,0.60143,0.85754,0.57341,0.44982,0.46234,0.28786,1.13414,0.80346,0.87622,0.003367,0.003367,0.003367
69,1899.85,1.02917,0.59662,0.85261,0.57601,0.44335,0.4596,0.28462,1.1315,0.80973,0.87643,0.003268,0.003268,0.003268
70,1927.71,1.02804,0.59325,0.85788,0.56244,0.44599,0.45692,0.28352,1.13328,0.80728,0.87606,0.003169,0.003169,0.003169
71,1954.81,1.02889,0.59305,0.85497,0.58731,0.43555,0.45878,0.28454,1.13556,0.81143,0.87725,0.00307,0.00307,0.00307
