epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13139.7,1.15166,0.76775,0.95398,0.62047,0.5236,0.55149,0.35008,1.14099,0.79213,0.9672,0.00900844,0.00900844,0.00900844
43,13477.4,1.12262,0.74891,0.95412,0.62944,0.51816,0.54717,0.34778,1.14987,0.791,0.97056,0.00896127,0.00896127,0.00896127
44,13774.7,1.12893,0.75911,0.95693,0.6332,0.52811,0.55774,0.35335,1.13951,0.78364,0.96571,0.00891313,0.00891313,0.00891313
45,14139.7,1.12434,0.74759,0.9623,0.64819,0.52483,0.56022,0.35663,1.13536,0.78444,0.96423,0.00886404,0.00886404,0.00886404
46,14469.4,1.13189,0.75463,0.96049,0.6357,0.52469,0.5568,0.35539,1.13732,0.78207,0.96463,0.00881401,0.00881401,0.00881401
47,14775.4,1.1227,0.74014,0.95579,0.62071,0.52721,0.55434,0.3531,1.14032,0.78279,0.96703,0.00876305,0.00876305,0.00876305
48,15076,nan,nan,nan,0.00015,0.00286,9e-05,3e-05,nan,nan,nan,0.00871117,0.00871117,0.00871117
49,15365.4,1.48646,3.14027,1.08527,6e-05,0.00053,3e-05,1e-05,nan,nan,nan,0.00865839,0.00865839,0.00865839
50,15707.8,nan,nan,nan,6e-05,0.00098,3e-05,1e-05,nan,nan,nan,0.00860473,0.00860473,0.00860473
51,16019.2,1.66343,7.02081,1.22986,0.0728,0.04771,0.03342,0.0093,nan,nan,nan,0.00855018,0.00855018,0.00855018
52,16322.4,1.80377,10.0973,1.39848,0.12199,0.01561,0.04644,0.01679,nan,nan,nan,0.00849477,0.00849477,0.00849477
53,16643.4,1.97839,11.2027,1.55851,0.01948,0.00592,0.01011,0.00297,nan,nan,nan,0.00843851,0.00843851,0.00843851
