epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,952.332,1.12452,0.71679,0.87211,0.5442,0.4321,0.44554,0.27376,1.16132,0.82623,0.88024,0.005743,0.005743,0.005743
45,973.504,1.1125,0.70255,0.87268,0.55682,0.42511,0.44496,0.273,1.1685,0.83349,0.88229,0.005644,0.005644,0.005644
46,994.617,1.11754,0.70824,0.87221,0.55388,0.43095,0.44826,0.2756,1.16063,0.81966,0.87841,0.005545,0.005545,0.005545
47,1015.75,1.10865,0.69722,0.87018,0.55667,0.42893,0.44501,0.27281,1.16544,0.82997,0.87847,0.005446,0.005446,0.005446
48,1036.99,1.09565,0.68866,0.86698,0.54511,0.42631,0.4449,0.27128,1.16527,0.82726,0.87856,0.005347,0.005347,0.005347
49,1058.07,1.09526,0.6868,0.86615,0.55542,0.42479,0.44612,0.27138,1.16806,0.82818,0.87836,0.005248,0.005248,0.005248
50,1079.14,1.09539,0.68628,0.86469,0.55983,0.42487,0.44938,0.27451,1.16008,0.82501,0.87897,0.005149,0.005149,0.005149
51,1100.4,1.09137,0.68107,0.86395,0.56276,0.42463,0.44475,0.27217,1.16416,0.82794,0.87762,0.00505,0.00505,0.00505
52,1121.63,1.08404,0.67713,0.86634,0.55465,0.42839,0.44495,0.27217,1.15372,0.82738,0.87712,0.004951,0.004951,0.004951
53,1143.62,1.1001,0.6782,0.86782,0.55513,0.42686,0.44506,0.27258,1.16242,0.82964,0.87733,0.004852,0.004852,0.004852
54,1165.03,1.08198,0.66918,0.86435,0.56148,0.43033,0.4517,0.27765,1.15178,0.81688,0.87576,0.004753,0.004753,0.004753
55,1186.69,1.10673,0.68089,0.86808,0.55109,0.4331,0.45194,0.27622,1.16078,0.82466,0.8786,0.004654,0.004654,0.004654
56,1207.77,1.09386,0.66756,0.8634,0.55309,0.428,0.44512,0.27361,1.15413,0.82639,0.8772,0.004555,0.004555,0.004555
57,1229.14,1.09048,0.66684,0.86609,0.55464,0.43181,0.44913,0.27526,1.17187,0.83,0.87921,0.004456,0.004456,0.004456
58,1250.2,1.1203,0.67382,0.86784,0.55257,0.43749,0.4495,0.27513,1.16178,0.83122,0.87767,0.004357,0.004357,0.004357
59,1271.3,1.08824,0.65939,0.86274,0.57316,0.42795,0.45268,0.27752,1.15309,0.82745,0.87698,0.004258,0.004258,0.004258
60,1292.46,1.06885,0.64156,0.86384,0.55707,0.4394,0.45383,0.27757,1.15425,0.82545,0.87798,0.004159,0.004159,0.004159
61,1313.66,1.07707,0.64784,0.86141,0.55718,0.43799,0.45122,0.27658,1.16353,0.82205,0.87754,0.00406,0.00406,0.00406
62,1334.92,1.06496,0.64174,0.85918,0.56808,0.43247,0.45292,0.27853,1.15419,0.82802,0.8768,0.003961,0.003961,0.003961
63,1356.01,1.0495,0.62611,0.85839,0.55582,0.43528,0.45117,0.27656,1.15562,0.82536,0.87778,0.003862,0.003862,0.003862
64,1377.15,1.05703,0.63864,0.85782,0.55387,0.43521,0.44851,0.27581,1.15518,0.82995,0.87769,0.003763,0.003763,0.003763
65,1398.07,1.06167,0.63617,0.85982,0.56018,0.43744,0.45146,0.27733,1.15181,0.82717,0.87661,0.003664,0.003664,0.003664
66,1419.06,1.06044,0.62922,0.85766,0.5693,0.43301,0.45436,0.27942,1.15593,0.82746,0.87726,0.003565,0.003565,0.003565
67,1440.82,1.05618,0.62935,0.85779,0.56734,0.43098,0.4541,0.27953,1.14993,0.82919,0.87684,0.003466,0.003466,0.003466
68,1462.91,1.05793,0.62311,0.85681,0.56155,0.43631,0.45219,0.2781,1.15182,0.82549,0.87657,0.003367,0.003367,0.003367
69,1484.24,1.04423,0.619,0.85149,0.56781,0.4306,0.44992,0.27644,1.15645,0.82786,0.87679,0.003268,0.003268,0.003268
70,1505.26,1.04145,0.62053,0.85735,0.5649,0.42701,0.44785,0.27532,1.1573,0.82932,0.87809,0.003169,0.003169,0.003169
