epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,713.976,1.23335,0.83134,0.88781,0.48645,0.38349,0.38222,0.22853,1.24295,0.90703,0.89088,0.005743,0.005743,0.005743
45,730.049,1.22232,0.81677,0.88908,0.49872,0.3661,0.37806,0.22443,1.25612,0.92183,0.89454,0.005644,0.005644,0.005644
46,746.113,1.23167,0.82737,0.88995,0.50087,0.38188,0.38803,0.23009,1.2487,0.90014,0.89319,0.005545,0.005545,0.005545
47,762.118,1.21524,0.81151,0.88558,0.50257,0.36543,0.38271,0.22802,1.25017,0.90108,0.89241,0.005446,0.005446,0.005446
48,778.028,1.20257,0.80398,0.88246,0.49695,0.37651,0.38642,0.2304,1.25152,0.89992,0.89201,0.005347,0.005347,0.005347
49,793.909,1.20532,0.80514,0.88148,0.50863,0.3804,0.39172,0.23299,1.24636,0.89493,0.89048,0.005248,0.005248,0.005248
50,809.785,1.20696,0.8026,0.88027,0.52181,0.37162,0.3902,0.23339,1.24352,0.89339,0.89012,0.005149,0.005149,0.005149
51,825.748,1.20204,0.79691,0.88096,0.49809,0.37557,0.38171,0.22872,1.23865,0.89743,0.89094,0.00505,0.00505,0.00505
52,841.578,1.1936,0.79482,0.88253,0.50068,0.38017,0.39038,0.23244,1.2409,0.89457,0.88988,0.004951,0.004951,0.004951
53,857.502,1.21075,0.79803,0.88463,0.50311,0.37839,0.38741,0.23093,1.24208,0.89637,0.88963,0.004852,0.004852,0.004852
54,873.488,1.19728,0.79181,0.88144,0.50468,0.38121,0.39045,0.23271,1.23645,0.88604,0.88839,0.004753,0.004753,0.004753
55,889.455,1.21996,0.79782,0.88437,0.50885,0.38192,0.39211,0.23379,1.23713,0.89239,0.8876,0.004654,0.004654,0.004654
56,905.325,1.20535,0.78508,0.87882,0.50411,0.3822,0.39175,0.23419,1.23564,0.89635,0.89,0.004555,0.004555,0.004555
57,921.296,1.20143,0.78655,0.88152,0.4992,0.38348,0.38941,0.23171,1.23996,0.89526,0.88884,0.004456,0.004456,0.004456
58,937.123,1.23565,0.79663,0.88482,0.49903,0.38937,0.39419,0.23422,1.2351,0.89075,0.89038,0.004357,0.004357,0.004357
