epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1495.39,1.05651,0.63191,0.86815,0.5618,0.45365,0.46551,0.28697,1.11917,0.79653,0.8796,0.005743,0.005743,0.005743
45,1529.28,1.04562,0.6233,0.86964,0.58188,0.44149,0.46675,0.29023,1.11746,0.79023,0.87914,0.005644,0.005644,0.005644
46,1563.07,1.05022,0.62567,0.86954,0.5803,0.45111,0.47224,0.29167,1.11687,0.78796,0.87935,0.005545,0.005545,0.005545
47,1596.8,1.04182,0.61549,0.86757,0.58036,0.44344,0.46387,0.28755,1.12716,0.78379,0.87854,0.005446,0.005446,0.005446
48,1630.5,1.02786,0.60802,0.8625,0.57144,0.45328,0.46873,0.29073,1.12,0.78172,0.87838,0.005347,0.005347,0.005347
49,1664.37,1.02656,0.60584,0.86249,0.56982,0.45262,0.47016,0.29154,1.11437,0.79032,0.87668,0.005248,0.005248,0.005248
50,1698.12,1.02866,0.60355,0.8618,0.56492,0.45155,0.46993,0.29132,1.11549,0.78212,0.87692,0.005149,0.005149,0.005149
51,1731.83,1.02122,0.59706,0.86008,0.59406,0.44787,0.47438,0.29496,1.11039,0.77948,0.87719,0.00505,0.00505,0.00505
52,1765.6,1.0127,0.59017,0.86127,0.57253,0.45386,0.4684,0.29106,1.10911,0.79826,0.87671,0.004951,0.004951,0.004951
53,1799.28,1.02616,0.58976,0.86287,0.59871,0.4443,0.46833,0.29104,1.11617,0.78812,0.8778,0.004852,0.004852,0.004852
54,1832.97,1.00889,0.58187,0.8601,0.588,0.4511,0.47522,0.29568,1.1098,0.78593,0.87674,0.004753,0.004753,0.004753
55,1866.9,1.03477,0.59375,0.86261,0.5895,0.4526,0.47465,0.29486,1.11773,0.78994,0.87748,0.004654,0.004654,0.004654
56,1900.6,1.02056,0.58285,0.85897,0.58802,0.45472,0.47663,0.29559,1.11145,0.79287,0.87792,0.004555,0.004555,0.004555
57,1934.36,1.01343,0.57546,0.86021,0.5837,0.447,0.47259,0.29345,1.11944,0.79895,0.87779,0.004456,0.004456,0.004456
58,1968.13,1.04342,0.58305,0.86309,0.58584,0.45633,0.47823,0.29576,1.11124,0.79194,0.87783,0.004357,0.004357,0.004357
59,2002.02,1.0132,0.57405,0.85686,0.58224,0.45232,0.47756,0.2968,1.11062,0.79684,0.87724,0.004258,0.004258,0.004258
60,2035.84,0.99583,0.5562,0.85793,0.59101,0.45486,0.47612,0.29525,1.11612,0.79645,0.87845,0.004159,0.004159,0.004159
61,2069.53,1.00143,0.55878,0.85616,0.5926,0.4548,0.47569,0.29583,1.11817,0.80076,0.87742,0.00406,0.00406,0.00406
62,2103.18,0.98892,0.55613,0.85469,0.59206,0.44719,0.477,0.29715,1.1163,0.80262,0.8779,0.003961,0.003961,0.003961
63,2137.1,0.97536,0.53966,0.8533,0.59782,0.45068,0.47584,0.29526,1.11182,0.79616,0.87734,0.003862,0.003862,0.003862
64,2170.94,0.98045,0.55037,0.85161,0.58248,0.45868,0.47768,0.29751,1.10652,0.79689,0.87744,0.003763,0.003763,0.003763
65,2204.81,0.98031,0.54499,0.85291,0.59083,0.45076,0.47555,0.29475,1.11464,0.79914,0.87818,0.003664,0.003664,0.003664
66,2238.38,0.98016,0.53771,0.85081,0.58209,0.45567,0.47418,0.2949,1.10979,0.80377,0.87786,0.003565,0.003565,0.003565
67,2272.12,0.97824,0.53876,0.85184,0.59011,0.45366,0.47503,0.29596,1.11406,0.79868,0.87767,0.003466,0.003466,0.003466
68,2305.84,0.97698,0.53395,0.84898,0.60776,0.43942,0.4698,0.29228,1.11393,0.80437,0.87742,0.003367,0.003367,0.003367
69,2339.55,0.96165,0.52862,0.84458,0.58318,0.45678,0.4744,0.29516,1.10827,0.80345,0.87705,0.003268,0.003268,0.003268
70,2373.28,0.95867,0.52411,0.84975,0.5904,0.45427,0.47495,0.29654,1.11057,0.80267,0.8769,0.003169,0.003169,0.003169
71,2406.95,0.96156,0.52409,0.84644,0.59273,0.44813,0.47423,0.29563,1.11347,0.80635,0.87831,0.00307,0.00307,0.00307
72,2440.6,0.95207,0.51819,0.84623,0.58797,0.4535,0.47361,0.29462,1.11549,0.81124,0.87769,0.002971,0.002971,0.002971
73,2474.35,0.9719,0.52341,0.84412,0.5919,0.45405,0.47691,0.29549,1.1189,0.80886,0.87877,0.002872,0.002872,0.002872
74,2508.19,0.95548,0.51171,0.84711,0.60695,0.45062,0.47776,0.29626,1.11829,0.81086,0.87939,0.002773,0.002773,0.002773
75,2541.91,0.94159,0.51076,0.84272,0.59491,0.45442,0.47767,0.29803,1.11641,0.80891,0.87812,0.002674,0.002674,0.002674
76,2575.82,0.94024,0.50031,0.84424,0.59541,0.45217,0.47481,0.2967,1.11423,0.81075,0.8782,0.002575,0.002575,0.002575
77,2609.55,0.94517,0.50533,0.84161,0.59385,0.45343,0.47612,0.29677,1.12,0.81371,0.87966,0.002476,0.002476,0.002476
78,2643.29,0.93078,0.49844,0.84409,0.59563,0.45648,0.47618,0.29663,1.12086,0.80802,0.87912,0.002377,0.002377,0.002377
79,2676.99,0.92353,0.49776,0.83868,0.59135,0.45326,0.47455,0.29554,1.11846,0.81101,0.8783,0.002278,0.002278,0.002278
80,2710.8,0.92252,0.4972,0.83969,0.59877,0.4528,0.47515,0.29565,1.12333,0.81415,0.8814,0.002179,0.002179,0.002179
81,2744.58,0.91692,0.48694,0.83601,0.59344,0.45138,0.47249,0.29369,1.12103,0.81432,0.88057,0.00208,0.00208,0.00208
82,2778.35,0.92682,0.4886,0.83944,0.58988,0.45133,0.47218,0.29293,1.11953,0.81796,0.88079,0.001981,0.001981,0.001981
83,2811.99,0.90198,0.47679,0.83756,0.59757,0.44911,0.47322,0.29316,1.12111,0.81921,0.88058,0.001882,0.001882,0.001882
84,2845.62,0.9042,0.47751,0.83533,0.60518,0.44352,0.47337,0.29336,1.12465,0.81854,0.88006,0.001783,0.001783,0.001783
85,2879.21,0.91019,0.47861,0.83758,0.6068,0.44311,0.47114,0.29228,1.12487,0.81959,0.88068,0.001684,0.001684,0.001684
86,2912.81,0.8949,0.47148,0.8376,0.59641,0.44685,0.47123,0.29218,1.12259,0.82305,0.88029,0.001585,0.001585,0.001585
87,2946.51,0.89153,0.46906,0.83754,0.59078,0.44733,0.47123,0.29278,1.1235,0.82095,0.88183,0.001486,0.001486,0.001486
88,2980.46,0.88858,0.46426,0.83647,0.60115,0.44571,0.47269,0.29279,1.12674,0.82144,0.88283,0.001387,0.001387,0.001387
89,3014.38,0.89474,0.46542,0.83178,0.59992,0.44527,0.47325,0.29328,1.12626,0.82318,0.88254,0.001288,0.001288,0.001288
90,3048.14,0.89093,0.46651,0.83451,0.59061,0.44876,0.4725,0.29354,1.12591,0.82266,0.88232,0.001189,0.001189,0.001189
91,3082.5,0.86661,0.4429,0.83425,0.58597,0.44843,0.46855,0.29023,1.12768,0.82413,0.8825,0.00109,0.00109,0.00109
92,3115.61,0.85799,0.4365,0.83332,0.59793,0.44019,0.46502,0.28849,1.12742,0.83301,0.88309,0.000991,0.000991,0.000991
93,3148.81,0.8803,0.44602,0.83245,0.59117,0.44412,0.46424,0.28723,1.13052,0.83494,0.8842,0.000892,0.000892,0.000892
94,3182.1,0.85386,0.43718,0.82854,0.5854,0.44526,0.46489,0.28784,1.13369,0.83963,0.88497,0.000793,0.000793,0.000793
95,3215.37,0.8599,0.43481,0.82889,0.58679,0.44423,0.46405,0.28709,1.13444,0.84095,0.88581,0.000694,0.000694,0.000694
96,3248.85,0.84381,0.43013,0.82793,0.57861,0.45117,0.46599,0.28833,1.13407,0.84003,0.88534,0.000595,0.000595,0.000595
97,3282.22,0.84144,0.42448,0.82607,0.58146,0.44779,0.46511,0.28732,1.136,0.84057,0.88542,0.000496,0.000496,0.000496
98,3315.53,0.84917,0.42622,0.82737,0.58985,0.44286,0.46435,0.28648,1.13729,0.84177,0.88568,0.000397,0.000397,0.000397
99,3348.76,0.82867,0.41712,0.82575,0.58134,0.44505,0.4638,0.28677,1.13754,0.84356,0.88655,0.000298,0.000298,0.000298
100,3381.87,0.82917,0.41853,0.82586,0.59247,0.43881,0.46312,0.28627,1.13849,0.84469,0.88686,0.000199,0.000199,0.000199
