epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1735.15,1.41934,1.04783,0.92478,0.4207,0.30837,0.30885,0.17698,1.37697,1.02583,0.91536,0.005743,0.005743,0.005743
45,1774.14,1.3944,1.02808,0.92356,0.41039,0.31812,0.31411,0.18232,1.36213,1.01411,0.91442,0.005644,0.005644,0.005644
46,1813.48,1.40713,1.0363,0.92371,0.4242,0.30815,0.31197,0.18176,1.36919,1.01267,0.91357,0.005545,0.005545,0.005545
47,1852.81,1.42135,1.03328,0.92181,0.41716,0.3157,0.31163,0.18031,1.3606,1.01829,0.91462,0.005446,0.005446,0.005446
48,1892.8,1.40342,1.03144,0.92243,0.42439,0.31451,0.31329,0.18134,1.36391,1.01168,0.91288,0.005347,0.005347,0.005347
49,1932.25,1.40746,1.03177,0.9227,0.40308,0.31993,0.31295,0.1801,1.35879,1.01232,0.91233,0.005248,0.005248,0.005248
50,1971.92,1.39663,1.02219,0.91778,0.41218,0.3197,0.31627,0.18242,1.35786,1.01018,0.91158,0.005149,0.005149,0.005149
51,2010.93,1.40702,1.01938,0.92026,0.41842,0.31183,0.31424,0.18183,1.3581,1.00788,0.91175,0.00505,0.00505,0.00505
52,2050.56,1.39414,1.01954,0.92035,0.42189,0.31459,0.31456,0.18349,1.35267,1.01285,0.91233,0.004951,0.004951,0.004951
53,2089.98,1.39932,1.01272,0.91812,0.41962,0.32367,0.32169,0.18575,1.35316,1.00002,0.91135,0.004852,0.004852,0.004852
54,2129.36,1.38531,1.01687,0.91763,0.40976,0.32904,0.32201,0.18754,1.35034,1.00075,0.91043,0.004753,0.004753,0.004753
55,2168.46,1.38507,1.00921,0.91957,0.4233,0.31932,0.32042,0.18637,1.343,0.99544,0.90985,0.004654,0.004654,0.004654
56,2207.91,1.38267,1.00466,0.91712,0.41704,0.32562,0.32099,0.18577,1.35316,0.99542,0.91057,0.004555,0.004555,0.004555
57,2247.44,1.392,1.01433,0.92042,0.41539,0.3252,0.32151,0.18664,1.35085,0.99567,0.91149,0.004456,0.004456,0.004456
58,2286.89,1.3816,1.00535,0.91795,0.41958,0.32596,0.32089,0.18668,1.35048,0.99614,0.9103,0.004357,0.004357,0.004357
59,2326.75,1.38399,1.00322,0.91468,0.42528,0.32557,0.32383,0.18798,1.34774,0.99135,0.90971,0.004258,0.004258,0.004258
60,2366.1,1.36735,0.9938,0.917,0.43733,0.31695,0.32197,0.18766,1.34882,0.99327,0.91093,0.004159,0.004159,0.004159
61,2405.23,1.39231,1.00414,0.91854,0.42506,0.32692,0.32651,0.18981,1.33963,0.98587,0.90788,0.00406,0.00406,0.00406
